Date,Season,home,visitor,hgoal,agoal
1,2020,Lazio Roma,Atalanta,1,4
1,2020,AC Milan,Bologna FC,2,0
1,2020,Sassuolo,Cagliari Calcio,1,1
1,2020,Genoa CFC,Crotone,4,1
1,2020,Benevento,Inter,2,5
1,2020,Parma FC,SSC Napoli,0,2
1,2020,Hellas Verona,AS Roma,3,0
1,2020,Juventus,Sampdoria,3,0
1,2020,Udinese Calcio,Spezia,0,2
1,2020,ACF Fiorentina,Torino FC,1,0
2,2020,Torino FC,Atalanta,2,4
2,2020,Sampdoria,Benevento,2,3
2,2020,Inter,ACF Fiorentina,4,3
2,2020,SSC Napoli,Genoa CFC,6,0
2,2020,AS Roma,Juventus,2,2
2,2020,Cagliari Calcio,Lazio Roma,0,2
2,2020,Crotone,AC Milan,0,2
2,2020,Bologna FC,Parma FC,4,1
2,2020,Spezia,Sassuolo,1,4
2,2020,Hellas Verona,Udinese Calcio,1,0
3,2020,Benevento,Bologna FC,1,0
3,2020,Atalanta,Cagliari Calcio,5,2
3,2020,Sassuolo,Crotone,4,1
3,2020,Lazio Roma,Inter,1,1
3,2020,Juventus,SSC Napoli,2,1
3,2020,Udinese Calcio,AS Roma,0,1
3,2020,ACF Fiorentina,Sampdoria,1,2
3,2020,AC Milan,Spezia,3,0
3,2020,Genoa CFC,Torino FC,1,2
3,2020,Parma FC,Hellas Verona,1,0
4,2020,SSC Napoli,Atalanta,4,1
4,2020,AS Roma,Benevento,5,2
4,2020,Torino FC,Cagliari Calcio,2,3
4,2020,Spezia,ACF Fiorentina,2,2
4,2020,Hellas Verona,Genoa CFC,0,0
4,2020,Crotone,Juventus,1,1
4,2020,Sampdoria,Lazio Roma,3,0
4,2020,Inter,AC Milan,1,2
4,2020,Udinese Calcio,Parma FC,3,2
4,2020,Bologna FC,Sassuolo,3,4
5,2020,Lazio Roma,Bologna FC,2,1
5,2020,Cagliari Calcio,Crotone,4,2
5,2020,Genoa CFC,Inter,0,2
5,2020,Benevento,SSC Napoli,1,2
5,2020,AC Milan,AS Roma,3,3
5,2020,Atalanta,Sampdoria,1,3
5,2020,Parma FC,Spezia,2,2
5,2020,Sassuolo,Torino FC,3,3
5,2020,ACF Fiorentina,Udinese Calcio,3,2
5,2020,Juventus,Hellas Verona,1,1
6,2020,Crotone,Atalanta,1,2
6,2020,Hellas Verona,Benevento,3,1
6,2020,Bologna FC,Cagliari Calcio,3,2
6,2020,AS Roma,ACF Fiorentina,2,0
6,2020,Sampdoria,Genoa CFC,1,1
6,2020,Spezia,Juventus,1,4
6,2020,Torino FC,Lazio Roma,3,4
6,2020,Udinese Calcio,AC Milan,1,2
6,2020,Inter,Parma FC,2,2
6,2020,SSC Napoli,Sassuolo,0,2
7,2020,Torino FC,Crotone,0,0
7,2020,Parma FC,ACF Fiorentina,0,0
7,2020,Atalanta,Inter,1,1
7,2020,Lazio Roma,Juventus,1,1
7,2020,Bologna FC,SSC Napoli,0,1
7,2020,Genoa CFC,AS Roma,1,3
7,2020,Cagliari Calcio,Sampdoria,2,0
7,2020,Benevento,Spezia,0,3
7,2020,Sassuolo,Udinese Calcio,0,0
7,2020,AC Milan,Hellas Verona,2,2
8,2020,Spezia,Atalanta,0,0
8,2020,ACF Fiorentina,Benevento,0,1
8,2020,Sampdoria,Bologna FC,1,2
8,2020,Juventus,Cagliari Calcio,2,0
8,2020,Udinese Calcio,Genoa CFC,1,0
8,2020,Crotone,Lazio Roma,0,2
8,2020,SSC Napoli,AC Milan,1,3
8,2020,AS Roma,Parma FC,3,0
8,2020,Hellas Verona,Sassuolo,0,2
8,2020,Inter,Torino FC,4,2
9,2020,Bologna FC,Crotone,1,0
9,2020,AC Milan,ACF Fiorentina,2,0
9,2020,Sassuolo,Inter,0,3
9,2020,Benevento,Juventus,1,1
9,2020,Genoa CFC,Parma FC,1,2
9,2020,SSC Napoli,AS Roma,4,0
9,2020,Torino FC,Sampdoria,2,2
9,2020,Cagliari Calcio,Spezia,2,2
9,2020,Lazio Roma,Udinese Calcio,1,3
9,2020,Atalanta,Hellas Verona,0,2
10,2020,Udinese Calcio,Atalanta,1,1
10,2020,Parma FC,Benevento,0,0
10,2020,Inter,Bologna FC,3,1
10,2020,Hellas Verona,Cagliari Calcio,1,1
10,2020,ACF Fiorentina,Genoa CFC,1,1
10,2020,Spezia,Lazio Roma,1,2
10,2020,Sampdoria,AC Milan,1,2
10,2020,Crotone,SSC Napoli,0,4
10,2020,AS Roma,Sassuolo,0,0
10,2020,Juventus,Torino FC,2,1
11,2020,Sassuolo,Benevento,1,0
11,2020,Atalanta,ACF Fiorentina,3,0
11,2020,Cagliari Calcio,Inter,1,3
11,2020,Genoa CFC,Juventus,1,3
11,2020,AC Milan,Parma FC,2,2
11,2020,Bologna FC,AS Roma,1,5
11,2020,SSC Napoli,Sampdoria,2,1
11,2020,Crotone,Spezia,4,1
11,2020,Torino FC,Udinese Calcio,2,3
11,2020,Lazio Roma,Hellas Verona,1,2
12,2020,Juventus,Atalanta,1,1
12,2020,Spezia,Bologna FC,2,2
12,2020,Parma FC,Cagliari Calcio,0,0
12,2020,Udinese Calcio,Crotone,0,0
12,2020,Benevento,Lazio Roma,1,1
12,2020,Genoa CFC,AC Milan,2,2
12,2020,Inter,SSC Napoli,1,0
12,2020,Hellas Verona,Sampdoria,1,2
12,2020,ACF Fiorentina,Sassuolo,1,1
12,2020,AS Roma,Torino FC,3,1
13,2020,Torino FC,Bologna FC,1,1
13,2020,Sampdoria,Crotone,3,1
13,2020,Benevento,Genoa CFC,2,0
13,2020,Parma FC,Juventus,0,4
13,2020,Sassuolo,AC Milan,1,2
13,2020,Lazio Roma,SSC Napoli,2,0
13,2020,Atalanta,AS Roma,4,1
13,2020,Inter,Spezia,2,1
13,2020,Cagliari Calcio,Udinese Calcio,1,1
13,2020,ACF Fiorentina,Hellas Verona,1,1
14,2020,Bologna FC,Atalanta,2,2
14,2020,Udinese Calcio,Benevento,0,2
14,2020,AS Roma,Cagliari Calcio,3,2
14,2020,Juventus,ACF Fiorentina,0,3
14,2020,Spezia,Genoa CFC,1,2
14,2020,Hellas Verona,Inter,1,2
14,2020,AC Milan,Lazio Roma,3,2
14,2020,Crotone,Parma FC,2,1
14,2020,Sampdoria,Sassuolo,2,3
14,2020,SSC Napoli,Torino FC,1,1
15,2020,ACF Fiorentina,Bologna FC,0,0
15,2020,Inter,Crotone,6,2
15,2020,Genoa CFC,Lazio Roma,1,1
15,2020,Benevento,AC Milan,0,2
15,2020,Cagliari Calcio,SSC Napoli,1,4
15,2020,AS Roma,Sampdoria,1,0
15,2020,Atalanta,Sassuolo,5,1
15,2020,Parma FC,Torino FC,0,3
15,2020,Juventus,Udinese Calcio,4,1
15,2020,Spezia,Hellas Verona,0,1
16,2020,Cagliari Calcio,Benevento,1,2
16,2020,Lazio Roma,ACF Fiorentina,2,1
16,2020,Sassuolo,Genoa CFC,2,1
16,2020,Sampdoria,Inter,2,1
16,2020,AC Milan,Juventus,1,3
16,2020,Atalanta,Parma FC,3,0
16,2020,Crotone,AS Roma,1,3
16,2020,SSC Napoli,Spezia,1,2
16,2020,Bologna FC,Udinese Calcio,2,2
16,2020,Torino FC,Hellas Verona,1,1
17,2020,Benevento,Atalanta,1,4
17,2020,Genoa CFC,Bologna FC,2,0
17,2020,ACF Fiorentina,Cagliari Calcio,1,0
17,2020,Hellas Verona,Crotone,2,1
17,2020,AS Roma,Inter,2,2
17,2020,Parma FC,Lazio Roma,0,2
17,2020,Udinese Calcio,SSC Napoli,1,2
17,2020,Spezia,Sampdoria,2,1
17,2020,Juventus,Sassuolo,3,1
17,2020,AC Milan,Torino FC,2,0
18,2020,Crotone,Benevento,4,1
18,2020,SSC Napoli,ACF Fiorentina,6,0
18,2020,Atalanta,Genoa CFC,0,0
18,2020,Inter,Juventus,2,0
18,2020,Cagliari Calcio,AC Milan,0,2
18,2020,Sassuolo,Parma FC,1,1
18,2020,Lazio Roma,AS Roma,3,0
18,2020,Torino FC,Spezia,0,0
18,2020,Sampdoria,Udinese Calcio,2,1
18,2020,Bologna FC,Hellas Verona,1,0
19,2020,AC Milan,Atalanta,0,3
19,2020,Juventus,Bologna FC,2,0
19,2020,Genoa CFC,Cagliari Calcio,1,0
19,2020,ACF Fiorentina,Crotone,2,1
19,2020,Udinese Calcio,Inter,0,0
19,2020,Hellas Verona,SSC Napoli,3,1
19,2020,Parma FC,Sampdoria,0,2
19,2020,Lazio Roma,Sassuolo,2,1
19,2020,AS Roma,Spezia,4,3
19,2020,Benevento,Torino FC,2,2
20,2020,Inter,Benevento,4,0
20,2020,Torino FC,ACF Fiorentina,1,1
20,2020,Crotone,Genoa CFC,0,3
20,2020,Sampdoria,Juventus,0,2
20,2020,Atalanta,Lazio Roma,1,3
20,2020,Bologna FC,AC Milan,1,2
20,2020,SSC Napoli,Parma FC,2,0
20,2020,Cagliari Calcio,Sassuolo,1,1
20,2020,Spezia,Udinese Calcio,0,1
20,2020,AS Roma,Hellas Verona,3,1
21,2020,Parma FC,Bologna FC,0,3
21,2020,Lazio Roma,Cagliari Calcio,1,0
21,2020,AC Milan,Crotone,4,0
21,2020,ACF Fiorentina,Inter,0,2
21,2020,Genoa CFC,SSC Napoli,2,1
21,2020,Juventus,AS Roma,2,0
21,2020,Benevento,Sampdoria,1,1
21,2020,Sassuolo,Spezia,1,2
21,2020,Atalanta,Torino FC,3,3
21,2020,Udinese Calcio,Hellas Verona,2,0
22,2020,Cagliari Calcio,Atalanta,0,1
22,2020,Bologna FC,Benevento,1,1
22,2020,Sampdoria,ACF Fiorentina,2,1
22,2020,Torino FC,Genoa CFC,0,0
22,2020,SSC Napoli,Juventus,1,0
22,2020,Inter,Lazio Roma,3,1
22,2020,Spezia,AC Milan,2,0
22,2020,Hellas Verona,Parma FC,2,1
22,2020,Crotone,Sassuolo,1,2
22,2020,AS Roma,Udinese Calcio,3,0
23,2020,Sassuolo,Bologna FC,1,1
23,2020,Juventus,Crotone,3,0
23,2020,AC Milan,Inter,0,3
23,2020,Atalanta,SSC Napoli,4,2
23,2020,Benevento,AS Roma,0,0
23,2020,Lazio Roma,Sampdoria,1,0
23,2020,ACF Fiorentina,Spezia,3,0
23,2020,Cagliari Calcio,Torino FC,0,1
23,2020,Parma FC,Udinese Calcio,2,2
23,2020,Genoa CFC,Hellas Verona,2,2
24,2020,Sampdoria,Atalanta,0,2
24,2020,SSC Napoli,Benevento,2,0
24,2020,Crotone,Cagliari Calcio,0,2
24,2020,Udinese Calcio,ACF Fiorentina,1,0
24,2020,Inter,Genoa CFC,3,0
24,2020,Hellas Verona,Juventus,1,1
24,2020,Bologna FC,Lazio Roma,2,0
24,2020,AS Roma,AC Milan,1,2
24,2020,Spezia,Parma FC,2,2
24,2020,Torino FC,Sassuolo,3,2
25,2020,Cagliari Calcio,Bologna FC,1,0
25,2020,Atalanta,Crotone,5,1
25,2020,Parma FC,Inter,1,2
25,2020,Sassuolo,SSC Napoli,3,3
25,2020,ACF Fiorentina,AS Roma,1,2
25,2020,Genoa CFC,Sampdoria,1,1
25,2020,Juventus,Spezia,3,0
25,2020,Lazio Roma,Torino FC,0,0
25,2020,AC Milan,Udinese Calcio,1,1
25,2020,Benevento,Hellas Verona,0,3
26,2020,Inter,Atalanta,1,0
26,2020,Spezia,Benevento,1,1
26,2020,SSC Napoli,Bologna FC,1,3
26,2020,Sampdoria,Cagliari Calcio,2,2
26,2020,AS Roma,Genoa CFC,1,0
26,2020,Juventus,Lazio Roma,3,1
26,2020,Hellas Verona,AC Milan,0,2
26,2020,ACF Fiorentina,Parma FC,3,3
26,2020,Udinese Calcio,Sassuolo,2,0
26,2020,Crotone,Torino FC,4,2
27,2020,Lazio Roma,Crotone,3,2
27,2020,Benevento,ACF Fiorentina,1,4
27,2020,Torino FC,Inter,1,2
27,2020,Cagliari Calcio,Juventus,1,3
27,2020,AC Milan,SSC Napoli,0,1
27,2020,Parma FC,AS Roma,2,0
27,2020,Bologna FC,Sampdoria,3,1
27,2020,Atalanta,Spezia,3,1
27,2020,Genoa CFC,Udinese Calcio,1,1
27,2020,Sassuolo,Hellas Verona,3,2
28,2020,Hellas Verona,Atalanta,0,2
28,2020,Juventus,Benevento,0,1
28,2020,Crotone,Bologna FC,2,3
28,2020,Spezia,Cagliari Calcio,2,1
28,2020,Parma FC,Genoa CFC,1,2
28,2020,Udinese Calcio,Lazio Roma,0,1
28,2020,ACF Fiorentina,AC Milan,2,3
28,2020,AS Roma,SSC Napoli,0,2
28,2020,Inter,Sassuolo,2,1
28,2020,Sampdoria,Torino FC,1,0
29,2020,SSC Napoli,Crotone,4,3
29,2020,Genoa CFC,ACF Fiorentina,1,1
29,2020,Bologna FC,Inter,0,1
29,2020,Torino FC,Juventus,2,2
29,2020,Benevento,Parma FC,2,2
29,2020,Sassuolo,AS Roma,2,2
29,2020,AC Milan,Sampdoria,1,1
29,2020,Lazio Roma,Spezia,2,1
29,2020,Atalanta,Udinese Calcio,3,2
29,2020,Cagliari Calcio,Hellas Verona,0,2
30,2020,ACF Fiorentina,Atalanta,2,3
30,2020,AS Roma,Bologna FC,1,0
30,2020,Inter,Cagliari Calcio,1,0
30,2020,Spezia,Crotone,3,2
30,2020,Juventus,Genoa CFC,3,1
30,2020,Hellas Verona,Lazio Roma,0,1
30,2020,Parma FC,AC Milan,1,3
30,2020,Sampdoria,SSC Napoli,0,2
30,2020,Benevento,Sassuolo,0,1
30,2020,Udinese Calcio,Torino FC,0,1
31,2020,Lazio Roma,Benevento,5,3
31,2020,Sassuolo,ACF Fiorentina,3,1
31,2020,AC Milan,Genoa CFC,2,1
31,2020,SSC Napoli,Inter,1,1
31,2020,Atalanta,Juventus,1,0
31,2020,Cagliari Calcio,Parma FC,4,3
31,2020,Torino FC,AS Roma,3,1
31,2020,Bologna FC,Spezia,4,1
31,2020,Crotone,Udinese Calcio,1,2
31,2020,Sampdoria,Hellas Verona,3,1
32,2020,AS Roma,Atalanta,1,1
32,2020,Genoa CFC,Benevento,2,2
32,2020,Udinese Calcio,Cagliari Calcio,0,1
32,2020,Hellas Verona,ACF Fiorentina,1,2
32,2020,Spezia,Inter,1,1
32,2020,SSC Napoli,Lazio Roma,5,2
32,2020,Juventus,Parma FC,3,1
32,2020,Crotone,Sampdoria,0,1
32,2020,AC Milan,Sassuolo,1,2
32,2020,Bologna FC,Torino FC,1,1
33,2020,Atalanta,Bologna FC,5,0
33,2020,Parma FC,Crotone,3,4
33,2020,ACF Fiorentina,Juventus,1,1
33,2020,Lazio Roma,AC Milan,3,0
33,2020,Torino FC,SSC Napoli,0,2
33,2020,Cagliari Calcio,AS Roma,3,2
33,2020,Sassuolo,Sampdoria,1,0
33,2020,Genoa CFC,Spezia,2,0
33,2020,Benevento,Udinese Calcio,2,4
33,2020,Inter,Hellas Verona,1,0
34,2020,Sassuolo,Atalanta,1,1
34,2020,AC Milan,Benevento,2,0
34,2020,SSC Napoli,Cagliari Calcio,1,1
34,2020,Bologna FC,ACF Fiorentina,3,3
34,2020,Lazio Roma,Genoa CFC,4,3
34,2020,Crotone,Inter,0,2
34,2020,Udinese Calcio,Juventus,1,2
34,2020,Torino FC,Parma FC,1,0
34,2020,Sampdoria,AS Roma,2,0
34,2020,Hellas Verona,Spezia,1,1
35,2020,Parma FC,Atalanta,2,5
35,2020,Udinese Calcio,Bologna FC,1,1
35,2020,Benevento,Cagliari Calcio,1,3
35,2020,AS Roma,Crotone,5,0
35,2020,ACF Fiorentina,Lazio Roma,2,0
35,2020,Juventus,AC Milan,0,3
35,2020,Spezia,SSC Napoli,1,4
35,2020,Inter,Sampdoria,5,1
35,2020,Genoa CFC,Sassuolo,1,2
35,2020,Hellas Verona,Torino FC,1,1
36,2020,Atalanta,Benevento,2,0
36,2020,Cagliari Calcio,ACF Fiorentina,0,0
36,2020,Bologna FC,Genoa CFC,0,2
36,2020,Sassuolo,Juventus,1,3
36,2020,Torino FC,AC Milan,0,7
36,2020,Lazio Roma,Parma FC,1,0
36,2020,Inter,AS Roma,3,1
36,2020,Sampdoria,Spezia,2,2
36,2020,SSC Napoli,Udinese Calcio,5,1
36,2020,Crotone,Hellas Verona,2,1
37,2020,Genoa CFC,Atalanta,3,4
37,2020,Hellas Verona,Bologna FC,2,2
37,2020,AC Milan,Cagliari Calcio,0,0
37,2020,Benevento,Crotone,1,1
37,2020,Juventus,Inter,3,2
37,2020,AS Roma,Lazio Roma,2,0
37,2020,ACF Fiorentina,SSC Napoli,0,2
37,2020,Udinese Calcio,Sampdoria,0,1
37,2020,Parma FC,Sassuolo,1,3
37,2020,Spezia,Torino FC,4,1
38,2020,Torino FC,Benevento,1,1
38,2020,Crotone,ACF Fiorentina,0,0
38,2020,Cagliari Calcio,Genoa CFC,0,1
38,2020,Bologna FC,Juventus,1,4
38,2020,Sassuolo,Lazio Roma,2,0
38,2020,Atalanta,AC Milan,0,2
38,2020,Sampdoria,Parma FC,3,0
38,2020,Spezia,AS Roma,2,2
38,2020,Inter,Udinese Calcio,5,1
38,2020,SSC Napoli,Hellas Verona,1,1
